a0_to_a1,a0_to_a2,a1_to_a0,a1_to_a2,a2_to_a0,a2_to_a1,episode,step
B,B,_,_,_,_,2,19
C,C,_,_,_,_,2,20
D,D,_,_,_,_,2,21
D,D,_,_,_,_,2,22
D,D,_,_,_,_,2,23
C,C,_,_,_,_,2,24
C,C,_,_,_,_,2,25
C,C,_,_,_,_,2,26
D,D,_,_,_,_,2,27
D,D,_,_,_,_,2,28
D,D,_,_,_,_,2,29
E,E,_,_,_,_,2,30
E,E,_,_,_,_,2,31
E,E,_,_,_,_,2,32
A,A,_,_,_,_,2,33
E,E,_,_,_,_,2,34
C,C,_,_,_,_,2,35
C,C,_,_,_,_,2,36
C,C,_,_,_,_,2,37
D,D,_,_,_,_,2,38
B,B,_,_,_,_,2,39
A,A,_,_,_,_,2,40
A,A,_,_,_,_,2,41
A,A,_,_,_,_,2,42
A,A,_,_,_,_,2,43
B,B,_,_,_,_,2,44
D,D,_,_,_,_,2,45
B,B,_,_,_,_,2,46
E,E,_,_,_,_,2,47
E,E,_,_,_,_,2,48
D,D,_,_,_,_,2,49
_,_,_,_,_,_,3,0
F,F,_,_,_,_,3,1
F,F,_,_,_,_,3,2
F,F,_,_,_,_,3,3
F,F,_,_,_,_,3,4
F,F,_,_,_,_,3,5
B,B,_,_,_,_,3,6
E,E,_,_,_,_,3,7
E,E,_,_,_,_,3,8
C,C,_,_,_,_,3,9
C,C,_,_,_,_,3,10
D,D,_,_,_,_,3,11
D,D,_,_,_,_,3,12
D,D,_,_,_,_,3,13
C,C,_,_,_,_,3,14
E,E,_,_,_,_,3,15
E,E,_,_,_,_,3,16
A,A,_,_,_,_,3,17
B,B,_,_,_,_,3,18
B,B,_,_,_,_,3,19
C,C,_,_,_,_,3,20
C,C,_,_,_,_,3,21
D,D,_,_,_,_,3,22
D,D,_,_,_,_,3,23
D,D,_,_,_,_,3,24
D,D,_,_,_,_,3,25
E,E,_,_,_,_,3,26
E,E,_,_,_,_,3,27
D,D,_,_,_,_,3,28
D,D,_,_,_,_,3,29
D,D,_,_,_,_,3,30
E,E,_,_,_,_,3,31
E,E,_,_,_,_,3,32
E,E,_,_,_,_,3,33
B,B,_,_,_,_,3,34
B,B,_,_,_,_,3,35
C,C,_,_,_,_,3,36
D,D,_,_,_,_,3,37
D,D,_,_,_,_,3,38
C,C,_,_,_,_,3,39
C,C,_,_,_,_,3,40
A,A,_,_,_,_,3,41
A,A,_,_,_,_,3,42
D,D,_,_,_,_,3,43
D,D,_,_,_,_,3,44
D,D,_,_,_,_,3,45
A,A,_,_,_,_,3,46
C,C,_,_,_,_,3,47
E,E,_,_,_,_,3,48
B,B,_,_,_,_,3,49
_,_,_,_,_,_,4,0
A,A,_,_,_,_,4,1
A,A,_,_,_,_,4,2
A,A,_,_,_,_,4,3
A,A,_,_,_,_,4,4
A,A,_,_,_,_,4,5
A,A,_,_,_,_,4,6
A,A,_,_,_,_,4,7
A,A,_,_,_,_,4,8
D,D,_,_,_,_,4,9
D,D,_,_,_,_,4,10
D,D,_,_,_,_,4,11
D,D,_,_,_,_,4,12
C,C,_,_,_,_,4,13
A,A,_,_,_,_,4,14
A,A,_,_,_,_,4,15
A,A,_,_,_,_,4,16
B,B,_,_,_,_,4,17
D,D,_,_,_,_,4,18
D,D,_,_,_,_,4,19
D,D,_,_,_,_,4,20
C,C,_,_,_,_,4,21
C,C,_,_,_,_,4,22
C,C,_,_,_,_,4,23
E,E,_,_,_,_,4,24
D,D,_,_,_,_,4,25
B,B,_,_,_,_,4,26
E,E,_,_,_,_,4,27
C,C,_,_,_,_,4,28
C,C,_,_,_,_,4,29
D,D,_,_,_,_,4,30
B,B,_,_,_,_,4,31
B,B,_,_,_,_,4,32
E,E,_,_,_,_,4,33
E,E,_,_,_,_,4,34
D,D,_,_,_,_,4,35
D,D,_,_,_,_,4,36
D,D,_,_,_,_,4,37
C,C,_,_,_,_,4,38
C,C,_,_,_,_,4,39
C,C,_,_,_,_,4,40
A,A,_,_,_,_,4,41
D,D,_,_,_,_,4,42
D,D,_,_,_,_,4,43
D,D,_,_,_,_,4,44
E,E,_,_,_,_,4,45
E,E,_,_,_,_,4,46
B,B,_,_,_,_,4,47
D,D,_,_,_,_,4,48
D,D,_,_,_,_,4,49
_,_,_,_,_,_,5,0
D,D,_,_,_,_,5,1
D,D,_,_,_,_,5,2
D,D,_,_,_,_,5,3
C,C,_,_,_,_,5,4
D,D,_,_,_,_,5,5
D,D,_,_,_,_,5,6
D,D,_,_,_,_,5,7
D,D,_,_,_,_,5,8
D,D,_,_,_,_,5,9
D,D,_,_,_,_,5,10
D,D,_,_,_,_,5,11
D,D,_,_,_,_,5,12
D,D,_,_,_,_,5,13
D,D,_,_,_,_,5,14
A,A,_,_,_,_,5,15
A,A,_,_,_,_,5,16
A,A,_,_,_,_,5,17
E,E,_,_,_,_,5,18
E,E,_,_,_,_,5,19
E,E,_,_,_,_,5,20
D,D,_,_,_,_,5,21
D,D,_,_,_,_,5,22
D,D,_,_,_,_,5,23
C,C,_,_,_,_,5,24
C,C,_,_,_,_,5,25
C,C,_,_,_,_,5,26
C,C,_,_,_,_,5,27
C,C,_,_,_,_,5,28
D,D,_,_,_,_,5,29
D,D,_,_,_,_,5,30
A,A,_,_,_,_,5,31
A,A,_,_,_,_,5,32
D,D,_,_,_,_,5,33
E,E,_,_,_,_,5,34
C,C,_,_,_,_,5,35
D,D,_,_,_,_,5,36
D,D,_,_,_,_,5,37
E,E,_,_,_,_,5,38
E,E,_,_,_,_,5,39
B,B,_,_,_,_,5,40
B,B,_,_,_,_,5,41
C,C,_,_,_,_,5,42
C,C,_,_,_,_,5,43
C,C,_,_,_,_,5,44
A,A,_,_,_,_,5,45
A,A,_,_,_,_,5,46
B,B,_,_,_,_,5,47
D,D,_,_,_,_,5,48
B,B,_,_,_,_,5,49
