a0_to_a1,a0_to_a2,a1_to_a0,a1_to_a2,a2_to_a0,a2_to_a1,episode,step
B,B,_,_,_,_,2,47
E,E,_,_,_,_,2,48
E,E,_,_,_,_,2,49
_,_,_,_,_,_,3,0
F,F,_,_,_,_,3,1
F,F,_,_,_,_,3,2
E,E,_,_,_,_,3,3
E,E,_,_,_,_,3,4
E,E,_,_,_,_,3,5
A,A,_,_,_,_,3,6
F,F,_,_,_,_,3,7
F,F,_,_,_,_,3,8
A,A,_,_,_,_,3,9
A,A,_,_,_,_,3,10
A,A,_,_,_,_,3,11
C,C,_,_,_,_,3,12
C,C,_,_,_,_,3,13
E,E,_,_,_,_,3,14
E,E,_,_,_,_,3,15
A,A,_,_,_,_,3,16
B,B,_,_,_,_,3,17
F,F,_,_,_,_,3,18
F,F,_,_,_,_,3,19
A,A,_,_,_,_,3,20
D,D,_,_,_,_,3,21
E,E,_,_,_,_,3,22
E,E,_,_,_,_,3,23
B,B,_,_,_,_,3,24
B,B,_,_,_,_,3,25
F,F,_,_,_,_,3,26
C,C,_,_,_,_,3,27
D,D,_,_,_,_,3,28
A,A,_,_,_,_,3,29
A,A,_,_,_,_,3,30
F,F,_,_,_,_,3,31
B,B,_,_,_,_,3,32
B,B,_,_,_,_,3,33
E,E,_,_,_,_,3,34
C,C,_,_,_,_,3,35
C,C,_,_,_,_,3,36
A,A,_,_,_,_,3,37
A,A,_,_,_,_,3,38
A,A,_,_,_,_,3,39
E,E,_,_,_,_,3,40
B,B,_,_,_,_,3,41
B,B,_,_,_,_,3,42
B,B,_,_,_,_,3,43
E,E,_,_,_,_,3,44
C,C,_,_,_,_,3,45
C,C,_,_,_,_,3,46
A,A,_,_,_,_,3,47
A,A,_,_,_,_,3,48
A,A,_,_,_,_,3,49
_,_,_,_,_,_,4,0
E,E,_,_,_,_,4,1
E,E,_,_,_,_,4,2
E,E,_,_,_,_,4,3
E,E,_,_,_,_,4,4
C,C,_,_,_,_,4,5
C,C,_,_,_,_,4,6
C,C,_,_,_,_,4,7
C,C,_,_,_,_,4,8
D,D,_,_,_,_,4,9
D,D,_,_,_,_,4,10
A,A,_,_,_,_,4,11
A,A,_,_,_,_,4,12
A,A,_,_,_,_,4,13
A,A,_,_,_,_,4,14
A,A,_,_,_,_,4,15
F,F,_,_,_,_,4,16
F,F,_,_,_,_,4,17
E,E,_,_,_,_,4,18
E,E,_,_,_,_,4,19
B,B,_,_,_,_,4,20
C,C,_,_,_,_,4,21
C,C,_,_,_,_,4,22
D,D,_,_,_,_,4,23
D,D,_,_,_,_,4,24
D,D,_,_,_,_,4,25
B,B,_,_,_,_,4,26
F,F,_,_,_,_,4,27
F,F,_,_,_,_,4,28
F,F,_,_,_,_,4,29
A,A,_,_,_,_,4,30
A,A,_,_,_,_,4,31
D,D,_,_,_,_,4,32
E,E,_,_,_,_,4,33
E,E,_,_,_,_,4,34
B,B,_,_,_,_,4,35
B,B,_,_,_,_,4,36
C,C,_,_,_,_,4,37
C,C,_,_,_,_,4,38
A,A,_,_,_,_,4,39
A,A,_,_,_,_,4,40
B,B,_,_,_,_,4,41
B,B,_,_,_,_,4,42
E,E,_,_,_,_,4,43
A,A,_,_,_,_,4,44
C,C,_,_,_,_,4,45
C,C,_,_,_,_,4,46
A,A,_,_,_,_,4,47
A,A,_,_,_,_,4,48
B,B,_,_,_,_,4,49
_,_,_,_,_,_,5,0
F,F,_,_,_,_,5,1
F,F,_,_,_,_,5,2
F,F,_,_,_,_,5,3
F,F,_,_,_,_,5,4
F,F,_,_,_,_,5,5
C,C,_,_,_,_,5,6
C,C,_,_,_,_,5,7
B,B,_,_,_,_,5,8
B,B,_,_,_,_,5,9
B,B,_,_,_,_,5,10
C,C,_,_,_,_,5,11
C,C,_,_,_,_,5,12
C,C,_,_,_,_,5,13
F,F,_,_,_,_,5,14
F,F,_,_,_,_,5,15
E,E,_,_,_,_,5,16
E,E,_,_,_,_,5,17
D,D,_,_,_,_,5,18
D,D,_,_,_,_,5,19
B,B,_,_,_,_,5,20
F,F,_,_,_,_,5,21
F,F,_,_,_,_,5,22
A,A,_,_,_,_,5,23
D,D,_,_,_,_,5,24
B,B,_,_,_,_,5,25
E,E,_,_,_,_,5,26
F,F,_,_,_,_,5,27
C,C,_,_,_,_,5,28
C,C,_,_,_,_,5,29
A,A,_,_,_,_,5,30
A,A,_,_,_,_,5,31
A,A,_,_,_,_,5,32
B,B,_,_,_,_,5,33
B,B,_,_,_,_,5,34
E,E,_,_,_,_,5,35
E,E,_,_,_,_,5,36
E,E,_,_,_,_,5,37
C,C,_,_,_,_,5,38
C,C,_,_,_,_,5,39
B,B,_,_,_,_,5,40
B,B,_,_,_,_,5,41
A,A,_,_,_,_,5,42
A,A,_,_,_,_,5,43
A,A,_,_,_,_,5,44
B,B,_,_,_,_,5,45
E,E,_,_,_,_,5,46
E,E,_,_,_,_,5,47
F,F,_,_,_,_,5,48
F,F,_,_,_,_,5,49
